Property,Accuracy,Random_Accuracy,Correct,Total
Specificity,0.44927980386147714,0.3245479619981612,1466,3263
Numeracy,0.45203800183879866,0.3346613545816733,1475,3263
Pronouns,0.4523444682807233,0.3276126264174073,1476,3263
Suspense,0.44989273674532637,0.34017775053631627,1468,3263
Emotion,0.4471345387680049,0.3383389518847686,1459,3263
Readability,0.4529574011645725,0.3165798345081214,1478,3263
