Property,Accuracy,Random_Accuracy,Correct,Total
Specificity,0.443150475022985,0.33619368679129635,1446,3263
Numeracy,0.444682807232608,0.3337419552558995,1451,3263
Pronouns,0.44529574011645723,0.3312902237205026,1453,3263
Suspense,0.4471345387680049,0.33282255593012566,1459,3263
Emotion,0.44437634079068344,0.3407906834201655,1450,3263
Readability,0.44897333741955253,0.32270916334661354,1465,3263
