Combination,Test_Accuracy
sentiment_length_Concreteness_Label_Numeric_Label_Suspense_Label,0.4529574011645725
sentiment_length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4434569414649096
sentiment_length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4428440085810604
sentiment_length_Numeric_Label_Suspense_Label_Pronoun_Label,0.44192460925528654
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.44958627030340176
length_Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.444682807232608
