Combination,Test_Accuracy,Random_Accuracy,Correct,Total
Concreteness,0.44927980386147714,0.3260802942077842,1466,3263
Numeric,0.45203800183879866,0.3368066196751456,1475,3263
Pronoun,0.4523444682807233,0.33037082439472876,1476,3263
Suspense,0.44989273674532637,0.3346613545816733,1468,3263
Sentiment,0.4471345387680049,0.32301562978853815,1459,3263
Length,0.4529574011645725,0.33588722034937174,1478,3263
